type,new cases,rate of new cases (incedence),deaths,death rate (mortality),Relative survival (%) (% who survive 5 yrs after dx),"gross research amount, in millions",most common stage @ diagnosis,avg years of life lost,overall survival rate
Anus,10930,2,2030,0.4,71.3,,,,
Bladder,84870,18,17420,4.1,79,,,,
Bone and Joint,3770,1,2190,0.5,68.5,,,,
Brain and Other Nervous System,24820,6.1,18330,4.4,33,,,,
Breast,319750,69.1,42680,10.5,91.6,,,,
Cervix Uteri,13360,7.7,4320,2.2,68,,,,
Colon and Rectum,154270,37.1,52900,12.9,65.4,,,,
Esophagus,22070,4.2,16250,3.7,21.9,,,,
Hodgkin Lymphoma,8720,2.5,1150,0.3,89,,,,
Kidney and Renal Pelvis,80980,17.5,14510,3.4,78.6,,,,
Larynx,13020,2.5,3910,0.9,62.1,,,,
Leukemia,66890,14.4,23540,5.8,67.8,,,,
Liver and Intrahepatic Bile Duct,42240,9.4,30090,6.6,22,,,,
Lung and Bronchus,226650,47.8,124730,31.5,28.1,,,,
Melanoma of the Skin,104960,21.9,8430,2,94.7,,,,
Myeloma,36110,7.3,12030,2.9,62.4,,,,
Non-Hodgkin Lymphoma,80350,18.7,19390,4.9,74.2,,,,
Oral Cavity and Pharynx,59660,11.6,12770,2.7,69.5,,,,
Ovary,20890,10.3,12730,5.9,51.6,,,,
Pancreas,67440,13.8,51980,11.3,13.3,,,,
Prostate,313780,120.2,35770,19.2,97.9,,,,
Small Intestine,13920,2.6,2060,0.4,71.1,,,,
Stomach,30300,7.3,10780,2.7,37.9,,,,
Testis,9720,6,600,0.3,94.9,,,,
Thyroid,44020,13.5,2290,0.5,98.4,,,,
Uterus,69120,28.3,13860,5.3,81.1,,,,
Vulva,7480,2.6,1770,0.6,69.8,,,,
,,,,,,,,,
,,,,,,,,,
Columns A-E,,,,,,,,,
https://seer.cancer.gov/statfacts/html/common.html#comparison,,,,,,https://www.cancer.gov/about-nci/budget/fact-book/data/research-funding,,,
,,,,,,,,,
https://portal.gdc.cancer.gov/,,,,,,,,,
